cycle_id,cell_id,timestamp,voltage_mean,voltage_min,voltage_max,current_mean,current_max,temperature_mean,temperature_max,soc_min,soc_max,charge_time_min,discharge_time_min,soh_ground_truth
40,cell_00,2024-01-10 18:00:00,3.7023,3.5325,3.8527,0.8828,1.3828,21.43,29.43,0.1368,0.9494,136.99,132.57,99.229
41,cell_00,2024-01-11 00:00:00,3.723,3.5585,3.8733,1.0795,1.5795,23.82,34.36,0.1258,0.957,108.64,101.02,99.444
42,cell_00,2024-01-11 06:00:00,3.7034,3.552,3.8617,1.0188,1.5188,25.21,35.95,0.1696,0.9397,118.48,116.08,99.442
43,cell_00,2024-01-11 12:00:00,3.7033,3.5488,3.8535,1.0539,1.5539,24.71,32.71,0.1516,0.9602,117.84,108.1,99.603
44,cell_00,2024-01-11 18:00:00,3.698,3.5398,3.8522,0.939,1.439,25.72,35.65,0.1327,0.9547,128.83,122.25,99.788
45,cell_00,2024-01-12 00:00:00,3.7069,3.5536,3.863,0.9585,1.4585,26.18,34.18,0.1662,0.9368,126.58,118.08,99.171
46,cell_00,2024-01-12 06:00:00,3.7054,3.5527,3.8741,1.0073,1.6073,25.91,34.59,0.1388,0.9621,116.88,107.06,99.451
47,cell_00,2024-01-12 12:00:00,3.7124,3.554,3.8624,0.9991,1.502,24.68,33.6,0.1219,0.9723,115.94,113.99,99.932
48,cell_00,2024-01-12 18:00:00,3.6937,3.5418,3.8478,1.0142,1.5264,22.23,32.22,0.1704,0.96,115.35,108.81,99.265
49,cell_00,2024-01-13 00:00:00,3.6945,3.5426,3.8449,1.0542,1.5542,24.32,32.48,0.1393,0.9643,118.21,105.54,99.241
50,cell_00,2024-01-13 06:00:00,3.6945,3.5434,3.8567,0.9117,1.4117,25.62,36.44,0.1418,0.9509,132.62,126.43,99.549
51,cell_00,2024-01-13 12:00:00,3.7075,3.5505,3.8576,1.0487,1.5595,23.36,31.98,0.1508,0.9334,111.59,108.4,99.741
52,cell_00,2024-01-13 18:00:00,3.7142,3.5629,3.8645,1.0004,1.5004,25.95,35.2,0.1729,0.9316,118.75,108.52,99.491
53,cell_00,2024-01-14 00:00:00,3.6952,3.5416,3.8453,0.9898,1.5352,26.36,34.36,0.1504,0.9526,125.16,109.87,99.887
54,cell_00,2024-01-14 06:00:00,3.6954,3.538,3.8455,0.9264,1.4264,25.19,37.51,0.126,0.9441,131.37,118.68,99.745
55,cell_00,2024-01-14 12:00:00,3.7028,3.5521,3.8552,1.0252,1.5252,20.4,29.34,0.1609,0.9409,117.46,107.31,99.741
56,cell_00,2024-01-14 18:00:00,3.697,3.5386,3.8569,0.8793,1.3793,23.08,32.51,0.1403,0.9494,141.24,130.67,99.654
57,cell_00,2024-01-15 00:00:00,3.7094,3.5555,3.8624,1.0324,1.5406,27.83,35.83,0.1878,0.9562,118.16,106.61,99.937
58,cell_00,2024-01-15 06:00:00,3.6762,3.5242,3.8267,0.9254,1.4254,24.18,32.18,0.15,0.9355,130.44,127.09,99.177
59,cell_00,2024-01-15 12:00:00,3.6894,3.5211,3.8402,1.0027,1.5027,22.02,32.5,0.1053,0.9455,114.17,108.51,98.451
60,cell_00,2024-01-15 18:00:00,3.6915,3.5403,3.8491,0.994,1.494,26.85,35.43,0.1571,0.9651,115.43,109.24,99.533
61,cell_00,2024-01-16 00:00:00,3.6752,3.5225,3.8257,1.0585,1.5585,25.02,33.02,0.1889,0.9392,117.36,110.75,98.915
62,cell_00,2024-01-16 06:00:00,3.689,3.5367,3.8394,0.9911,1.5153,26.66,36.73,0.1815,0.9587,121.16,111.52,99.084
63,cell_00,2024-01-16 12:00:00,3.69,3.5386,3.8491,0.9653,1.4772,25.42,33.42,0.1866,0.9452,122.58,116.52,99.445
64,cell_00,2024-01-16 18:00:00,3.6958,3.5418,3.8493,0.9747,1.4747,25.69,36.51,0.1296,0.9555,122.44,120.86,98.571
65,cell_00,2024-01-17 00:00:00,3.7091,3.5557,3.8639,1.0636,1.5636,25.54,33.54,0.1682,0.961,106.41,110.67,98.644
66,cell_00,2024-01-17 06:00:00,3.6954,3.5417,3.8647,1.0268,1.5666,26.05,34.46,0.1356,0.9574,118.87,111.88,98.539
67,cell_00,2024-01-17 12:00:00,3.6879,3.5286,3.8432,0.9807,1.4807,28.42,38.77,0.1545,0.9591,117.44,109.61,98.781
68,cell_00,2024-01-17 18:00:00,3.6979,3.5418,3.855,0.9882,1.4882,26.46,34.46,0.1245,0.9385,123.82,115.27,98.949
69,cell_00,2024-01-18 00:00:00,3.709,3.5532,3.8866,0.9216,1.4269,22.63,30.63,0.1371,0.9611,129.31,128.73,98.975
70,cell_00,2024-01-18 06:00:00,3.6886,3.5317,3.8391,1.0194,1.6043,25.67,33.67,0.1365,0.9415,113.82,115.8,98.9
71,cell_00,2024-01-18 12:00:00,3.6885,3.5283,3.8393,0.912,1.412,26.71,36.37,0.168,0.9526,123.38,117.89,98.393
72,cell_00,2024-01-18 18:00:00,3.7028,3.5481,3.858,1.0376,1.5761,26.8,34.8,0.166,0.9526,117.07,106.63,98.124
73,cell_00,2024-01-19 00:00:00,3.696,3.5431,3.851,1.0064,1.5064,24.36,32.36,0.1555,0.9549,114.03,109.78,98.834
74,cell_00,2024-01-19 06:00:00,3.7045,3.5512,3.8552,1.1193,1.6302,26.75,36.39,0.123,0.9534,101.04,96.58,98.676
75,cell_00,2024-01-19 12:00:00,3.6982,3.545,3.8487,0.945,1.5237,26.39,34.39,0.1438,0.9416,128.76,121.72,98.871
76,cell_00,2024-01-19 18:00:00,3.7054,3.5528,3.8791,0.9949,1.5193,28.86,36.86,0.1351,0.9365,117.56,110.68,98.944
77,cell_00,2024-01-20 00:00:00,3.6878,3.5243,3.8417,1.0899,1.5984,23.87,31.87,0.1674,0.9587,107.55,101.63,98.775
78,cell_00,2024-01-20 06:00:00,3.6982,3.5334,3.8487,1.0596,1.5596,24.24,32.24,0.1736,0.9519,109.13,101.77,98.856
79,cell_00,2024-01-20 12:00:00,3.6959,3.5407,3.8557,0.9652,1.4667,24.54,32.54,0.1711,0.9615,127.11,116.55,98.696
80,cell_00,2024-01-20 18:00:00,3.6859,3.5327,3.8366,1.0112,1.5112,24.26,34.13,0.1349,0.9496,114.78,107.29,98.722
81,cell_00,2024-01-21 00:00:00,3.6819,3.5229,3.8327,1.0001,1.5001,23.66,31.66,0.0952,0.9359,114.59,111.31,98.352
82,cell_00,2024-01-21 06:00:00,3.7046,3.5509,3.861,1.0141,1.5141,20.86,32.17,0.1147,0.9597,114.34,106.58,98.509
83,cell_00,2024-01-21 12:00:00,3.6944,3.541,3.8451,0.9651,1.475,24.35,32.35,0.1784,0.9463,118.99,122.06,98.622
84,cell_00,2024-01-21 18:00:00,3.688,3.5252,3.8421,0.9955,1.4955,25.55,33.55,0.142,0.9534,116.93,108.92,98.809
85,cell_00,2024-01-22 00:00:00,3.6967,3.5428,3.8666,0.9201,1.4201,24.26,35.33,0.135,0.9435,123.04,122.25,98.445
86,cell_00,2024-01-22 06:00:00,3.7094,3.5481,3.8647,1.0068,1.5068,27.9,36.33,0.1829,0.9664,113.65,108.22,98.72
87,cell_00,2024-01-22 12:00:00,3.6749,3.5144,3.8257,1.0225,1.542,25.02,33.02,0.1753,0.9412,114.62,104.9,98.483
88,cell_00,2024-01-22 18:00:00,3.6828,3.5291,3.8336,0.9886,1.5159,26.94,34.94,0.1505,0.9466,124.13,110.05,98.528
89,cell_00,2024-01-23 00:00:00,3.689,3.5263,3.8396,0.9192,1.4308,25.39,36.1,0.1441,0.9511,123.28,116.8,98.812
90,cell_00,2024-01-23 06:00:00,3.7116,3.5495,3.8626,1.0494,1.5977,26.24,37.17,0.1474,0.9391,108.8,102.38,97.965
91,cell_00,2024-01-23 12:00:00,3.7001,3.5445,3.851,1.0182,1.5226,25.42,33.42,0.1545,0.9533,120.42,109.84,98.174
92,cell_00,2024-01-23 18:00:00,3.7049,3.5501,3.865,0.9637,1.4833,27.05,35.05,0.182,0.9661,126.94,117.92,98.119
93,cell_00,2024-01-24 00:00:00,3.6854,3.5301,3.8365,0.986,1.5012,25.08,33.26,0.1584,0.9451,121.24,108.24,97.863
94,cell_00,2024-01-24 06:00:00,3.6863,3.5322,3.8458,0.925,1.425,25.74,33.74,0.1645,0.954,124.29,120.47,98.36
95,cell_00,2024-01-24 12:00:00,3.7027,3.5442,3.8533,0.9487,1.4487,25.55,33.55,0.1734,0.9225,123.95,119.72,98.788
96,cell_00,2024-01-24 18:00:00,3.6983,3.5445,3.8528,0.9731,1.5838,24.57,32.58,0.1266,0.9496,117.93,112.14,98.478
97,cell_00,2024-01-25 00:00:00,3.7034,3.5456,3.8541,1.0614,1.5614,25.61,35.89,0.1651,0.9469,107.36,104.5,98.623
98,cell_00,2024-01-25 06:00:00,3.6965,3.5437,3.8603,0.968,1.468,28.35,38.77,0.1441,0.9418,121.12,111.21,98.89
99,cell_00,2024-01-25 12:00:00,3.7012,3.5486,3.8642,1.032,1.5537,24.59,32.59,0.0997,0.9608,115.94,106.1,98.961
100,cell_00,2024-01-25 18:00:00,3.6994,3.5447,3.8597,0.9731,1.4857,25.63,33.63,0.1074,0.9467,119.82,115.04,98.542
101,cell_00,2024-01-26 00:00:00,3.7061,3.5289,3.8567,1.0124,1.5124,26.89,36.22,0.1296,0.9482,118.53,117.12,98.902
102,cell_00,2024-01-26 06:00:00,3.7059,3.5522,3.8649,0.9929,1.5491,26.71,34.71,0.1606,0.9462,116.64,119.03,98.523
103,cell_00,2024-01-26 12:00:00,3.6812,3.5121,3.8361,1.0437,1.5437,25.02,34.19,0.1523,0.9308,111.22,112.73,98.244
104,cell_00,2024-01-26 18:00:00,3.675,3.5193,3.8258,0.9733,1.4733,21.42,29.42,0.1537,0.9387,124.75,114.23,98.317
105,cell_00,2024-01-27 00:00:00,3.7071,3.5481,3.8581,0.9214,1.4808,25.78,33.78,0.189,0.9596,132.53,115.96,98.051
106,cell_00,2024-01-27 06:00:00,3.7092,3.5536,3.8638,0.9309,1.4622,21.67,29.67,0.1246,0.9289,124.37,118.06,98.229
107,cell_00,2024-01-27 12:00:00,3.6874,3.5289,3.8437,0.9734,1.4734,27.2,38.1,0.1495,0.9423,122.16,112.05,98.388
108,cell_00,2024-01-27 18:00:00,3.6795,3.5263,3.8319,0.9375,1.5264,25.25,33.25,0.1561,0.946,123.57,113.92,98.737
109,cell_00,2024-01-28 00:00:00,3.6995,3.5325,3.8529,1.0205,1.5535,26.5,37.78,0.1353,0.9674,111.23,105.89,99.012
110,cell_00,2024-01-28 06:00:00,3.7064,3.5516,3.8721,0.9767,1.4767,23.65,31.65,0.1506,0.9577,123.37,113.91,98.081
111,cell_00,2024-01-28 12:00:00,3.7159,3.5511,3.8788,1.1187,1.6982,22.67,31.25,0.118,0.9444,102.3,98.79,98.613
112,cell_00,2024-01-28 18:00:00,3.7024,3.5479,3.8533,0.9131,1.4211,25.39,38.18,0.1782,0.963,128.07,118.45,98.183
113,cell_00,2024-01-29 00:00:00,3.6942,3.5408,3.8449,1.0102,1.5102,24.95,32.95,0.1364,0.9426,117.02,113.85,98.638
114,cell_00,2024-01-29 06:00:00,3.6888,3.5349,3.8395,0.9436,1.4436,24.26,32.26,0.1906,0.9601,121.26,117.16,98.456
115,cell_00,2024-01-29 12:00:00,3.697,3.5373,3.8481,0.9753,1.5044,25.13,35.7,0.1494,0.9364,115.62,118.72,97.946
116,cell_00,2024-01-29 18:00:00,3.6952,3.5277,3.8467,1.0071,1.5309,29.15,37.15,0.1706,0.9607,115.91,108.76,98.774
117,cell_00,2024-01-30 00:00:00,3.6873,3.5331,3.8507,0.8837,1.3845,26.25,34.25,0.1489,0.9459,139.54,127.34,98.314
118,cell_00,2024-01-30 06:00:00,3.718,3.5638,3.8688,1.0118,1.5118,26.57,34.57,0.1494,0.9397,117.96,107.11,98.335
119,cell_00,2024-01-30 12:00:00,3.7151,3.5605,3.8694,1.0951,1.6016,26.27,34.8,0.1383,0.9478,106.3,102.14,98.175
120,cell_00,2024-01-30 18:00:00,3.7088,3.5546,3.8597,0.9773,1.4773,27.22,35.22,0.1524,0.9528,115.13,110.47,98.299
121,cell_00,2024-01-31 00:00:00,3.6887,3.5353,3.8394,1.013,1.513,24.71,32.71,0.1564,0.9451,118.0,107.04,98.624
122,cell_00,2024-01-31 06:00:00,3.7062,3.5523,3.8718,1.0512,1.5512,21.92,30.82,0.1343,0.9555,107.79,108.01,98.439
123,cell_00,2024-01-31 12:00:00,3.7043,3.5485,3.855,0.9918,1.5201,24.72,32.72,0.1475,0.9442,119.8,110.51,98.594
124,cell_00,2024-01-31 18:00:00,3.7023,3.5357,3.8577,0.971,1.471,26.22,34.22,0.1378,0.9562,124.94,111.78,98.604
125,cell_00,2024-02-01 00:00:00,3.7108,3.53,3.8614,0.8862,1.3965,23.55,31.55,0.196,0.9544,132.88,132.97,98.892
126,cell_00,2024-02-01 06:00:00,3.7039,3.5499,3.8734,1.032,1.532,24.74,32.74,0.1482,0.9494,112.11,103.46,98.393
127,cell_00,2024-02-01 12:00:00,3.7045,3.5353,3.8615,0.9943,1.5598,23.96,31.96,0.1809,0.9456,112.98,113.19,98.052
128,cell_00,2024-02-01 18:00:00,3.7046,3.5492,3.8552,0.9494,1.4494,27.25,35.49,0.1461,0.9515,118.97,119.26,98.816
129,cell_00,2024-02-02 00:00:00,3.701,3.547,3.8576,1.0063,1.5393,26.12,34.12,0.1552,0.9555,116.51,108.54,98.396
130,cell_00,2024-02-02 06:00:00,3.6804,3.5232,3.831,0.9708,1.4708,25.98,33.98,0.1236,0.9706,126.84,115.48,98.83
131,cell_00,2024-02-02 12:00:00,3.6988,3.5447,3.8613,0.9736,1.4793,25.93,33.93,0.1411,0.9594,118.43,110.46,98.61
132,cell_00,2024-02-02 18:00:00,3.6921,3.5372,3.8429,1.0303,1.5672,24.94,32.94,0.1542,0.9598,115.52,111.47,98.456
133,cell_00,2024-02-03 00:00:00,3.6851,3.5316,3.8358,0.9331,1.4331,25.3,34.68,0.1817,0.9809,129.14,116.94,98.6
134,cell_00,2024-02-03 06:00:00,3.7154,3.5631,3.8659,1.0524,1.6022,23.22,34.09,0.1544,0.9552,108.02,103.87,99.081
135,cell_00,2024-02-03 12:00:00,3.716,3.5638,3.8664,0.9301,1.4301,21.72,29.72,0.1777,0.9548,123.44,119.12,99.119
136,cell_00,2024-02-03 18:00:00,3.7114,3.5511,3.8691,0.9669,1.4816,25.23,34.2,0.1628,0.957,120.21,121.08,98.516
137,cell_00,2024-02-04 00:00:00,3.7004,3.5467,3.8537,1.0961,1.6423,25.49,33.49,0.1825,0.9399,109.71,105.68,98.543
138,cell_00,2024-02-04 06:00:00,3.7117,3.5588,3.8688,1.0564,1.5894,26.81,35.54,0.1488,0.9456,111.57,111.66,98.818
139,cell_00,2024-02-04 12:00:00,3.6964,3.54,3.8476,1.0049,1.6007,27.36,38.49,0.1978,0.9449,119.16,112.38,97.503
140,cell_00,2024-02-04 18:00:00,3.6988,3.5355,3.855,0.953,1.453,27.35,36.37,0.1403,0.9565,127.75,119.07,97.857
141,cell_00,2024-02-05 00:00:00,3.6857,3.5283,3.8368,0.9735,1.4735,23.5,31.5,0.1347,0.9483,123.6,114.22,97.749
142,cell_00,2024-02-05 06:00:00,3.7007,3.5454,3.8741,1.0037,1.5037,24.47,33.38,0.1258,0.9514,122.75,115.88,97.851
143,cell_00,2024-02-05 12:00:00,3.6969,3.5284,3.8481,1.0019,1.5349,25.72,36.19,0.1966,0.9609,119.76,111.08,97.507
144,cell_00,2024-02-05 18:00:00,3.6829,3.5103,3.8469,0.9955,1.5204,28.8,36.8,0.1664,0.9586,121.4,109.71,97.28
145,cell_00,2024-02-06 00:00:00,3.6952,3.5331,3.8603,0.9985,1.5036,27.22,37.21,0.1433,0.9484,120.62,112.54,97.135
146,cell_00,2024-02-06 06:00:00,3.6953,3.5292,3.8466,0.9893,1.4893,26.68,34.68,0.175,0.9433,120.89,112.81,97.422
147,cell_00,2024-02-06 12:00:00,3.7144,3.546,3.8879,0.9279,1.4662,24.42,32.42,0.1638,0.9614,130.06,115.19,97.62
148,cell_00,2024-02-06 18:00:00,3.7054,3.5383,3.8666,0.9742,1.4742,23.68,31.96,0.1893,0.9577,125.54,113.0,97.669
149,cell_00,2024-02-07 00:00:00,3.6976,3.5373,3.8582,1.0457,1.6037,26.18,34.18,0.119,0.9339,112.57,105.1,98.338
150,cell_00,2024-02-07 06:00:00,3.6996,3.5389,3.8509,0.9316,1.5745,23.35,31.35,0.1447,0.9469,128.1,124.42,98.089
151,cell_00,2024-02-07 12:00:00,3.6966,3.5351,3.8479,0.9905,1.5088,24.64,35.22,0.1407,0.9517,118.26,110.75,97.468
152,cell_00,2024-02-07 18:00:00,3.6948,3.5394,3.8458,0.959,1.4882,24.83,32.83,0.1105,0.9578,126.75,120.27,97.861
153,cell_00,2024-02-08 00:00:00,3.6856,3.5227,3.8407,1.0056,1.5056,27.39,35.39,0.1712,0.9591,115.71,110.02,97.635
154,cell_00,2024-02-08 06:00:00,3.695,3.5392,3.8602,0.9806,1.4806,24.47,32.47,0.1446,0.9528,123.35,116.58,97.672
155,cell_00,2024-02-08 12:00:00,3.6893,3.5338,3.8422,1.0739,1.5739,21.34,29.34,0.1648,0.9559,112.57,99.85,97.813
156,cell_00,2024-02-08 18:00:00,3.6844,3.5162,3.8354,1.0253,1.5253,25.76,33.76,0.1972,0.9506,119.92,113.76,97.943
157,cell_00,2024-02-09 00:00:00,3.7016,3.5373,3.861,0.9344,1.4344,23.95,34.75,0.1429,0.9433,122.26,118.9,97.655
158,cell_00,2024-02-09 06:00:00,3.701,3.5313,3.8612,1.0336,1.6197,25.06,34.97,0.1416,0.9474,116.26,105.44,98.076
159,cell_00,2024-02-09 12:00:00,3.6783,3.5218,3.8361,0.9613,1.4749,24.87,33.86,0.1524,0.9502,124.73,112.38,97.415
160,cell_00,2024-02-09 18:00:00,3.6954,3.5398,3.854,0.9712,1.4901,24.59,32.88,0.1697,0.9497,126.07,111.92,97.759
161,cell_00,2024-02-10 00:00:00,3.7078,3.5541,3.8585,1.0157,1.5157,26.19,34.97,0.1387,0.9311,121.15,109.04,98.536
162,cell_00,2024-02-10 06:00:00,3.7066,3.549,3.8579,0.9754,1.4754,22.7,30.7,0.1374,0.946,120.64,116.38,97.349
163,cell_00,2024-02-10 12:00:00,3.7068,3.5503,3.858,1.0446,1.5929,24.22,33.94,0.1711,0.9506,113.13,111.68,97.712
164,cell_00,2024-02-10 18:00:00,3.6964,3.5283,3.8477,0.9613,1.4613,26.03,34.03,0.1576,0.9472,117.43,117.46,97.309
165,cell_00,2024-02-11 00:00:00,3.6877,3.5314,3.8414,0.9691,1.4956,24.08,33.75,0.1091,0.9475,126.41,115.22,97.456
166,cell_00,2024-02-11 06:00:00,3.6851,3.5247,3.8364,0.9672,1.4672,22.59,32.96,0.1255,0.9549,117.72,114.02,97.265
167,cell_00,2024-02-11 12:00:00,3.6993,3.5424,3.8507,0.9717,1.4717,26.0,34.42,0.18,0.9392,122.77,118.01,97.231
168,cell_00,2024-02-11 18:00:00,3.6994,3.5375,3.8508,1.055,1.555,26.68,34.68,0.158,0.9337,113.66,108.73,97.048
169,cell_00,2024-02-12 00:00:00,3.709,3.5525,3.8603,1.0314,1.5314,24.93,33.73,0.1348,0.9465,112.66,105.32,97.411
170,cell_00,2024-02-12 06:00:00,3.7065,3.5491,3.8692,1.0855,1.5855,22.06,30.06,0.1466,0.9576,104.16,106.76,97.027
171,cell_00,2024-02-12 12:00:00,3.6949,3.5386,3.8462,1.1134,1.6162,26.06,34.66,0.1503,0.9669,101.8,98.71,97.482
172,cell_00,2024-02-12 18:00:00,3.684,3.528,3.8388,0.9485,1.4485,22.51,30.51,0.1647,0.9578,127.9,121.02,97.608
173,cell_00,2024-02-13 00:00:00,3.6929,3.5364,3.8442,1.0035,1.5035,25.46,33.46,0.1228,0.9353,116.59,116.07,97.392
174,cell_00,2024-02-13 06:00:00,3.698,3.5232,3.8638,0.9412,1.4439,23.67,33.08,0.1332,0.9477,118.84,120.25,97.196
175,cell_00,2024-02-13 12:00:00,3.6941,3.5377,3.8454,0.9611,1.4611,23.26,31.26,0.1555,0.9526,124.27,111.43,97.418
176,cell_00,2024-02-13 18:00:00,3.6897,3.5323,3.8441,0.9685,1.4685,24.34,32.34,0.148,0.9518,117.19,115.22,97.009
177,cell_00,2024-02-14 00:00:00,3.6986,3.5421,3.8732,0.9471,1.4675,24.73,32.73,0.1614,0.9554,128.02,112.51,97.382
178,cell_00,2024-02-14 06:00:00,3.6898,3.5312,3.8567,0.9474,1.4668,24.03,32.17,0.1254,0.9408,119.97,119.72,96.552
179,cell_00,2024-02-14 12:00:00,3.6892,3.5317,3.8407,0.9928,1.4928,25.88,34.11,0.1571,0.9506,113.73,108.82,97.001
180,cell_00,2024-02-14 18:00:00,3.6979,3.5391,3.8496,0.9392,1.4471,24.33,32.65,0.1718,0.9542,118.19,119.55,96.504
181,cell_00,2024-02-15 00:00:00,3.691,3.5188,3.8426,1.0421,1.5932,26.47,36.55,0.1597,0.9583,111.43,110.3,96.653
182,cell_00,2024-02-15 06:00:00,3.6987,3.5425,3.8551,0.9541,1.493,25.42,33.42,0.1528,0.9419,122.04,112.6,97.511
183,cell_00,2024-02-15 12:00:00,3.6988,3.5293,3.8501,1.1405,1.6405,23.95,32.31,0.1481,0.9465,105.03,96.23,97.37
184,cell_00,2024-02-15 18:00:00,3.6839,3.5255,3.8355,0.9774,1.4774,23.7,34.28,0.1333,0.923,118.53,114.75,96.886
185,cell_00,2024-02-16 00:00:00,3.6901,3.5314,3.8565,1.0036,1.5036,22.53,30.53,0.1486,0.9438,113.74,108.84,96.636
