cell_id,usage_profile,cycle_id,timestamp,voltage_mean,voltage_min,voltage_max,current_mean,current_max,temperature_mean,temperature_max,soc_min,soc_max,charge_time_min,discharge_time_min,soh_ground_truth,charge_time,discharge_depth,c_rate,internal_resistance_proxy,cumulative_time_above_40C,cumulative_deep_dod_cycles,cumulative_cycle_count
CELL_01,mild,11,2025-01-02 23:10:59,3.639,2.998,4.269,2.904,3.611,25.12,28.33,24.8,97.11,99.86,76.25,99.948,99.86,72.31,0.5808,1.7977369165487969,0,0,11
CELL_01,mild,12,2025-01-03 02:18:42,3.669,3.067,4.202,3.696,4.536,26.55,31.02,31.12,98.14,81.19,56.15,99.947,81.19,67.02,0.7392000000000001,1.351190476190477,0,0,12
CELL_01,mild,13,2025-01-03 06:20:53,3.629,3.075,4.196,2.608,3.854,22.88,28.64,35.18,97.55,116.59,73.82,99.93,116.59,62.37,0.5216000000000001,0.8996789727126803,0,0,13
CELL_01,mild,14,2025-01-03 09:02:19,3.681,3.079,4.259,3.595,5.097,30.08,33.45,44.6,97.4,84.12,46.49,99.916,84.12,52.800000000000004,0.7190000000000001,0.7856191744340879,0,0,14
CELL_01,mild,15,2025-01-03 12:43:11,3.603,2.945,4.241,3.933,5.489,25.59,28.61,40.21,96.64,72.89,41.54,99.904,72.89,56.43,0.7866,0.832904884318766,0,0,15
CELL_01,mild,16,2025-01-03 16:33:32,3.626,2.949,4.267,3.073,3.932,27.54,33.17,41.81,97.47,101.25,53.86,99.894,101.25,55.66,0.6146,1.5343422584400472,0,0,16
CELL_01,mild,17,2025-01-03 21:11:29,3.686,3.091,4.262,2.465,3.653,24.47,28.25,25.29,98.89,123.95,89.34,99.893,123.95,73.6,0.493,0.9856902356902351,0,0,17
CELL_01,mild,18,2025-01-04 01:39:36,3.638,3.039,4.227,2.744,4.063,26.55,32.96,42.86,98.23,112.52,58.93,99.888,112.52,55.370000000000005,0.5488000000000001,0.9006823351023507,0,0,18
CELL_01,mild,19,2025-01-04 05:56:20,3.662,3.083,4.221,3.258,4.756,27.17,31.6,31.91,97.17,92.12,62.98,99.87,92.12,65.26,0.6516,0.7596795727636847,0,0,19
CELL_01,mild,20,2025-01-04 09:54:51,3.526,2.907,4.217,2.25,3.09,26.98,33.54,42.14,96.38,132.11,73.04,99.865,132.11,54.239999999999995,0.45,1.5595238095238093,0,0,20
CELL_01,mild,21,2025-01-04 15:10:49,3.56,2.917,4.175,2.642,3.665,24.06,27.56,32.64,98.09,119.07,79.08,99.848,119.07,65.45,0.5284,1.2297165200391005,0,0,21
CELL_01,mild,22,2025-01-04 19:10:14,3.529,2.916,4.173,2.686,3.577,26.66,31.72,31.84,97.08,110.7,76.2,99.846,110.7,65.24,0.5372,1.410774410774411,0,0,22
CELL_01,mild,23,2025-01-04 22:27:41,3.598,2.95,4.206,4.061,5.385,28.53,34.17,35.09,97.12,79.49,45.34,99.842,79.49,62.03,0.8122,0.9486404833836861,0,0,23
CELL_01,mild,24,2025-01-05 02:29:47,3.559,2.909,4.208,2.35,3.268,23.13,26.83,48.44,98.46,128.88,68.56,99.829,128.88,50.019999999999996,0.47000000000000003,1.415032679738563,0,0,24
CELL_01,mild,25,2025-01-05 06:56:56,3.636,3.029,4.216,3.057,4.024,25.4,28.5,41.34,98.34,98.36,57.31,99.82,98.36,57.0,0.6113999999999999,1.2275077559462255,0,0,25
CELL_01,mild,26,2025-01-05 11:20:21,3.566,2.905,4.252,3.104,4.511,24.78,28.57,39.71,97.28,99.51,54.93,99.802,99.51,57.57,0.6208,0.9573560767590618,0,0,26
CELL_01,mild,27,2025-01-05 15:25:29,3.607,2.983,4.207,3.374,5.051,26.63,30.75,33.56,96.71,92.41,54.82,99.782,92.41,63.14999999999999,0.6748000000000001,0.7298747763864041,0,0,27
CELL_01,mild,28,2025-01-05 18:58:55,3.639,3.079,4.209,3.465,4.491,24.12,27.53,39.25,99.31,92.31,50.77,99.767,92.31,60.06,0.693,1.1013645224171538,0,0,28
CELL_01,mild,29,2025-01-05 22:00:01,3.6,2.999,4.176,3.312,4.065,22.99,28.68,45.08,99.01,95.89,44.67,99.766,95.89,53.93000000000001,0.6624,1.5630810092961476,0,0,29
CELL_01,mild,30,2025-01-06 02:13:27,3.62,3.04,4.177,3.679,4.508,26.61,30.18,33.34,96.4,85.01,53.18,99.765,85.01,63.06,0.7358,1.371531966224366,0,0,30
CELL_01,mild,31,2025-01-06 05:53:30,3.582,2.999,4.171,3.429,4.229,23.56,29.67,39.3,98.23,87.35,50.2,99.748,87.35,58.93000000000001,0.6858,1.4649999999999996,0,0,31
CELL_01,mild,32,2025-01-06 10:11:45,3.633,3.093,4.171,2.578,3.266,26.54,33.39,46.7,99.47,117.79,63.38,99.743,117.79,52.769999999999996,0.5156,1.5668604651162792,0,0,32
CELL_01,mild,33,2025-01-06 13:25:16,3.614,2.956,4.265,3.436,4.17,27.9,32.72,33.71,98.51,90.24,56.35,99.742,90.24,64.80000000000001,0.6872,1.7833787465940052,0,0,33
CELL_01,mild,34,2025-01-06 18:08:51,3.63,3.097,4.24,2.095,3.126,26.57,31.42,31.15,96.31,144.92,94.04,99.728,144.92,65.16,0.41900000000000004,1.1086323957322992,0,0,34
CELL_01,mild,35,2025-01-06 21:42:50,3.57,2.93,4.229,3.59,5.371,22.36,29.09,30.31,99.46,83.31,58.48,99.721,83.31,69.14999999999999,0.718,0.7293655249859626,0,0,35
CELL_01,mild,36,2025-01-07 01:05:05,3.715,3.1,4.27,2.972,4.292,25.56,30.22,40.0,99.46,99.99,60.64,99.72,99.99,59.459999999999994,0.5944,0.8863636363636361,0,0,36
CELL_01,mild,37,2025-01-07 06:08:52,3.654,3.034,4.222,2.233,2.756,25.24,29.16,36.11,98.69,139.01,84.3,99.715,139.01,62.58,0.4466,2.2715105162523925,0,0,37
CELL_01,mild,38,2025-01-07 09:54:32,3.624,3.024,4.24,2.865,4.088,27.31,33.81,41.22,96.12,99.5,56.79,99.696,99.5,54.900000000000006,0.5730000000000001,0.9942763695829929,0,0,38
CELL_01,mild,39,2025-01-07 14:03:46,3.61,3.09,4.185,3.814,5.564,24.46,29.52,35.55,99.13,81.04,49.98,99.695,81.04,63.58,0.7628,0.6257142857142856,0,0,39
CELL_01,mild,40,2025-01-07 18:57:37,3.532,2.926,4.183,2.279,2.787,21.67,26.64,31.35,96.96,133.86,87.33,99.693,133.86,65.60999999999999,0.4558,2.474409448818897,0,0,40
CELL_01,mild,41,2025-01-07 23:24:35,3.534,2.918,4.182,2.735,3.427,23.03,26.8,33.64,96.16,109.12,65.71,99.689,109.12,62.519999999999996,0.5469999999999999,1.8265895953757225,0,0,41
CELL_01,mild,42,2025-01-08 02:25:22,3.647,3.084,4.176,3.602,5.267,20.43,23.59,33.75,96.33,81.07,50.87,99.679,81.07,62.58,0.7203999999999999,0.6558558558558557,0,0,42
CELL_01,mild,43,2025-01-08 05:35:08,3.591,2.95,4.241,3.822,4.629,24.45,29.92,48.99,97.48,81.39,38.11,99.678,81.39,48.49,0.7644,1.599752168525403,0,0,43
CELL_01,mild,44,2025-01-08 10:09:50,3.562,2.964,4.191,2.548,3.073,25.16,30.29,41.56,97.51,118.41,65.18,99.665,118.41,55.95,0.5096,2.337142857142857,0,0,44
CELL_01,mild,45,2025-01-08 14:20:59,3.573,2.926,4.198,3.762,5.001,24.98,28.33,30.75,98.15,75.83,56.55,99.664,75.83,67.4,0.7524,1.0266343825665858,0,0,45
CELL_01,mild,46,2025-01-08 18:55:33,3.544,2.932,4.189,2.881,3.669,26.88,32.31,38.42,96.61,96.63,59.51,99.653,96.63,58.19,0.5761999999999999,1.595177664974619,0,0,46
CELL_01,mild,47,2025-01-08 22:43:19,3.663,3.034,4.263,2.712,3.393,24.52,31.4,44.0,99.46,115.49,65.45,99.639,115.49,55.459999999999994,0.5424,1.8046989720998543,0,0,47
CELL_01,mild,48,2025-01-09 04:24:01,3.588,3.022,4.199,1.63,2.012,23.48,27.77,35.57,96.97,192.45,113.57,99.638,192.45,61.4,0.32599999999999996,3.081151832460732,0,0,48
CELL_01,mild,49,2025-01-09 08:38:54,3.63,3.036,4.246,3.503,4.471,23.28,26.53,41.88,99.96,92.94,48.29,99.637,92.94,58.07999999999999,0.7006,1.2500000000000004,0,0,49
CELL_01,mild,50,2025-01-09 12:00:33,3.635,3.048,4.228,3.045,3.714,22.93,29.26,35.88,96.72,96.75,60.18,99.627,96.75,60.839999999999996,0.609,1.7638266068759336,0,0,50
CELL_01,mild,51,2025-01-09 15:25:38,3.632,3.063,4.214,3.436,4.527,25.79,31.45,40.2,98.09,80.63,49.2,99.613,80.63,57.89,0.6872,1.0549954170485794,0,0,51
CELL_01,mild,52,2025-01-09 19:25:16,3.607,3.025,4.182,3.412,5.022,23.31,27.24,39.37,98.17,85.31,52.85,99.612,85.31,58.800000000000004,0.6824,0.7186335403726709,0,0,52
CELL_01,mild,53,2025-01-10 00:18:57,3.594,3.049,4.173,2.77,3.531,26.27,32.84,27.8,99.15,109.5,80.29,99.611,109.5,71.35000000000001,0.554,1.4770039421813403,0,0,53
CELL_01,mild,54,2025-01-10 04:16:57,3.671,3.044,4.242,2.778,3.524,26.66,30.1,30.16,96.6,103.11,73.77,99.603,103.11,66.44,0.5556,1.6058981233243967,0,0,54
CELL_01,mild,55,2025-01-10 07:46:01,3.575,3.022,4.172,3.14,4.245,21.44,26.29,32.31,99.79,97.31,68.04,99.597,97.31,67.48,0.628,1.0407239819004523,0,0,55
CELL_01,mild,56,2025-01-10 10:42:06,3.701,3.085,4.215,3.943,5.837,25.88,31.19,45.65,98.95,74.31,41.59,99.594,74.31,53.300000000000004,0.7886,0.5966209081309398,0,0,56
CELL_01,mild,57,2025-01-10 15:00:23,3.566,2.99,4.193,2.355,3.347,22.98,28.13,47.95,99.68,126.94,63.64,99.59,126.94,51.730000000000004,0.471,1.2127016129032253,0,0,57
CELL_01,mild,58,2025-01-10 20:22:29,3.594,3.033,4.188,2.078,2.501,22.36,29.02,33.13,98.53,144.4,94.11,99.585,144.4,65.4,0.41559999999999997,2.7304964539007086,0,0,58
CELL_01,mild,59,2025-01-11 00:34:26,3.6,2.994,4.227,2.713,3.286,25.03,28.87,39.71,99.59,102.59,68.99,99.584,102.59,59.88,0.5426,2.151832460732985,0,0,59
CELL_01,mild,60,2025-01-11 04:53:39,3.587,2.954,4.235,2.873,3.769,22.52,26.14,38.34,99.78,105.89,64.04,99.583,105.89,61.44,0.5746,1.4296875000000002,0,0,60
CELL_01,mild,61,2025-01-11 08:47:21,3.574,2.948,4.18,2.738,3.821,26.44,29.52,42.06,96.42,106.76,61.19,99.576,106.76,54.36,0.5476,1.137580794090489,0,0,61
CELL_01,mild,62,2025-01-11 12:57:04,3.521,2.917,4.191,2.531,3.047,25.51,31.18,42.87,99.59,114.79,70.74,99.575,114.79,56.720000000000006,0.5062,2.4689922480620154,0,0,62
CELL_01,mild,63,2025-01-11 17:40:35,3.702,3.09,4.246,1.959,2.524,21.89,27.38,34.61,97.64,153.04,98.47,99.574,153.04,63.03,0.39180000000000004,2.0460176991150454,0,0,63
CELL_01,mild,64,2025-01-11 21:29:21,3.642,3.067,4.269,3.336,4.143,27.69,31.77,26.26,97.03,85.04,63.85,99.564,85.04,70.77,0.6672,1.4894671623296158,0,0,64
CELL_01,mild,65,2025-01-12 00:41:24,3.63,3.033,4.188,3.128,4.317,27.06,30.88,33.68,96.04,98.33,59.49,99.556,98.33,62.36000000000001,0.6256,0.971404541631623,0,0,65
CELL_01,mild,66,2025-01-12 04:27:23,3.615,2.978,4.199,3.099,3.947,20.26,23.93,40.15,98.41,98.52,54.63,99.555,98.52,58.26,0.6198,1.4398584905660377,0,0,66
CELL_01,mild,67,2025-01-12 08:40:00,3.614,3.019,4.204,2.712,3.658,25.99,31.92,35.94,96.86,111.34,66.69,99.549,111.34,60.92,0.5424,1.252642706131078,0,0,67
CELL_01,mild,68,2025-01-12 12:40:12,3.583,3.039,4.197,2.8,4.031,24.33,30.08,47.07,99.28,103.19,58.23,99.547,103.19,52.21,0.5599999999999999,0.9406986190089358,0,0,68
CELL_01,mild,69,2025-01-12 17:02:47,3.604,2.998,4.192,3.417,4.356,25.76,31.99,35.58,98.64,88.2,57.0,99.538,88.2,63.06,0.6834,1.2715654952076676,0,0,69
CELL_01,mild,70,2025-01-12 21:23:47,3.592,3.066,4.174,2.96,3.835,24.57,31.35,33.73,99.38,98.23,67.54,99.521,98.23,65.65,0.592,1.266285714285715,0,0,70
CELL_01,mild,71,2025-01-13 00:46:11,3.579,3.023,4.193,3.516,5.154,24.63,29.78,41.36,99.16,85.47,50.75,99.505,85.47,57.8,0.7032,0.714285714285714,0,0,71
CELL_01,mild,72,2025-01-13 04:19:08,3.58,2.984,4.212,3.157,4.516,23.63,28.55,35.34,99.94,94.13,62.98,99.504,94.13,64.6,0.6314,0.9036055923473141,0,0,72
CELL_01,mild,73,2025-01-13 07:38:26,3.619,3.036,4.192,2.983,3.923,22.99,26.16,39.91,96.07,98.1,56.16,99.477,98.1,56.16,0.5966,1.2297872340425533,0,0,73
CELL_01,mild,74,2025-01-13 11:43:28,3.575,2.935,4.192,3.811,4.836,23.67,30.64,32.22,98.05,77.24,50.59,99.475,77.24,65.83,0.7622,1.226341463414634,0,0,74
CELL_01,mild,75,2025-01-13 15:17:01,3.631,3.007,4.229,2.724,3.452,27.84,33.63,39.47,96.62,110.63,61.26,99.474,110.63,57.150000000000006,0.5448000000000001,1.678571428571429,0,0,75
CELL_01,mild,76,2025-01-13 18:20:14,3.612,2.982,4.207,3.542,4.343,26.17,32.72,35.49,98.2,82.18,51.22,99.47,82.18,62.71,0.7083999999999999,1.5293383270911354,0,0,76
CELL_01,mild,77,2025-01-13 21:40:59,3.593,2.97,4.238,4.263,6.171,23.96,30.37,36.86,97.98,71.75,39.73,99.463,71.75,61.120000000000005,0.8526,0.6645702306079665,0,0,77
CELL_01,mild,78,2025-01-14 01:42:31,3.621,3.036,4.232,3.358,4.732,25.61,32.01,37.32,99.35,88.24,56.38,99.462,88.24,62.029999999999994,0.6716,0.8704512372634644,0,0,78
CELL_01,mild,79,2025-01-14 05:38:01,3.594,2.952,4.234,3.096,4.301,25.74,32.07,40.0,98.03,97.55,59.23,99.455,97.55,58.03,0.6192,1.0639004149377593,0,0,79
CELL_01,mild,80,2025-01-14 10:37:04,3.659,3.087,4.239,2.279,2.805,24.2,31.05,33.68,99.73,130.53,86.12,99.45,130.53,66.05000000000001,0.4558,2.190114068441063,0,0,80
CELL_01,mild,81,2025-01-14 14:28:52,3.546,2.905,4.172,2.721,3.884,27.39,30.57,47.1,99.49,104.17,57.5,99.438,104.17,52.38999999999999,0.5442,1.0894239036973346,0,0,81
CELL_01,mild,82,2025-01-14 19:04:18,3.584,2.944,4.178,2.911,4.099,27.16,31.25,45.33,99.18,102.39,58.12,99.437,102.39,53.85000000000001,0.5822,1.0387205387205385,0,0,82
CELL_01,mild,83,2025-01-14 22:52:11,3.574,2.946,4.191,2.977,4.371,28.69,33.28,42.45,97.1,100.08,55.22,99.422,100.08,54.64999999999999,0.5953999999999999,0.8931133428981343,0,0,83
CELL_01,mild,84,2025-01-15 02:57:41,3.639,3.069,4.246,2.885,4.129,24.31,31.19,37.76,99.11,107.73,64.44,99.413,107.73,61.35,0.577,0.946141479099679,0,0,84
CELL_01,mild,85,2025-01-15 06:55:44,3.617,3.06,4.201,3.064,3.924,23.65,27.45,28.96,97.97,97.83,67.01,99.411,97.83,69.00999999999999,0.6128,1.3267441860465112,0,0,85
CELL_01,mild,86,2025-01-15 11:57:16,3.558,2.908,4.218,2.453,3.518,23.62,29.02,34.32,99.44,129.5,78.83,99.407,129.5,65.12,0.4906,1.2300469483568077,0,0,86
CELL_01,mild,87,2025-01-15 15:29:30,3.549,2.916,4.21,2.876,3.48,24.56,28.86,37.94,98.07,101.11,63.11,99.393,101.11,60.129999999999995,0.5751999999999999,2.142384105960265,0,0,87
CELL_01,mild,88,2025-01-15 20:19:42,3.668,3.087,4.175,2.601,3.146,26.25,29.92,37.45,98.83,116.53,71.52,99.382,116.53,61.379999999999995,0.5202,1.9963302752293575,0,0,88
CELL_01,mild,89,2025-01-16 00:09:39,3.63,3.029,4.223,3.659,4.887,27.1,30.42,42.26,99.58,82.61,46.26,99.381,82.61,57.32,0.7318,0.972312703583062,0,0,89
CELL_01,mild,90,2025-01-16 03:39:43,3.661,3.099,4.268,2.952,3.744,23.94,29.58,24.05,98.88,100.13,77.18,99.375,100.13,74.83,0.5904,1.4760101010101,0,0,90
CELL_01,mild,91,2025-01-16 08:16:09,3.653,2.974,4.269,2.758,3.596,24.49,30.96,47.25,98.91,114.76,53.06,99.372,114.76,51.66,0.5516,1.5453460620525057,0,0,91
CELL_01,mild,92,2025-01-16 12:58:35,3.615,2.942,4.232,2.714,3.999,28.56,35.16,46.53,98.37,111.76,58.86,99.371,111.76,51.84,0.5428,1.0038910505836576,0,0,92
CELL_01,mild,93,2025-01-16 16:37:20,3.668,3.074,4.215,2.987,3.806,23.9,30.78,40.08,96.72,101.13,52.42,99.37,101.13,56.64,0.5974,1.3931623931623933,0,0,93
CELL_01,mild,94,2025-01-16 21:42:07,3.566,2.926,4.267,2.377,3.404,25.64,32.52,33.26,97.3,119.92,80.27,99.364,119.92,64.03999999999999,0.47539999999999993,1.305744888023369,0,0,94
CELL_01,mild,95,2025-01-17 02:20:01,3.635,3.047,4.237,2.826,3.422,21.89,27.36,40.97,98.83,105.9,63.86,99.356,105.9,57.86,0.5652,1.9966442953020132,0,0,95
CELL_01,mild,96,2025-01-17 06:27:24,3.628,3.087,4.174,2.725,3.704,27.6,31.42,37.86,96.23,109.54,62.2,99.347,109.54,58.370000000000005,0.545,1.1103166496424923,0,0,96
CELL_01,mild,97,2025-01-17 09:37:23,3.551,2.906,4.201,4.044,5.022,26.83,31.65,36.33,98.06,76.11,43.92,99.34,76.11,61.730000000000004,0.8088,1.324130879345602,0,0,97
CELL_01,mild,98,2025-01-17 14:42:32,3.648,3.037,4.22,2.541,3.77,23.7,30.17,36.62,99.35,116.7,74.67,99.335,116.7,62.73,0.5082,0.9625711960943855,0,0,98
CELL_01,mild,99,2025-01-17 18:30:40,3.628,3.032,4.27,3.817,4.702,27.21,31.07,32.7,98.64,77.84,53.84,99.327,77.84,65.94,0.7634000000000001,1.398870056497175,0,0,99
CELL_01,mild,100,2025-01-17 22:00:32,3.677,3.052,4.25,2.533,3.654,27.87,34.38,47.09,98.67,118.79,60.56,99.326,118.79,51.58,0.5065999999999999,1.0686886708296164,0,0,100
CELL_01,mild,101,2025-01-18 02:13:32,3.541,2.975,4.193,2.504,3.184,22.81,27.39,45.98,98.78,117.69,63.59,99.311,117.69,52.800000000000004,0.5008,1.7911764705882343,0,0,101
CELL_01,mild,102,2025-01-18 06:10:41,3.617,2.968,4.208,3.563,4.303,28.07,32.59,37.62,97.92,91.18,47.12,99.299,91.18,60.300000000000004,0.7126,1.6756756756756765,0,0,102
CELL_01,mild,103,2025-01-18 09:30:54,3.636,3.085,4.176,3.379,4.302,26.19,33.01,31.81,96.07,90.43,56.67,99.295,90.43,64.25999999999999,0.6758,1.1820151679306616,0,0,103
CELL_01,mild,104,2025-01-18 14:02:23,3.62,3.022,4.242,2.691,3.481,23.1,27.24,33.3,98.16,111.07,69.12,99.293,111.07,64.86,0.5382,1.5443037974683547,0,0,104
CELL_01,mild,105,2025-01-18 18:54:19,3.633,2.997,4.251,2.204,3.281,25.21,31.05,43.1,96.43,136.34,71.45,99.284,136.34,53.330000000000005,0.4408,1.1643454038997219,0,0,105
CELL_01,mild,106,2025-01-18 22:21:26,3.613,2.982,4.254,3.201,4.427,25.28,31.56,38.27,96.85,95.97,56.41,99.283,95.97,58.57999999999999,0.6402,1.0375203915171287,0,0,106
CELL_01,mild,107,2025-01-19 02:54:25,3.632,2.934,4.244,2.582,3.553,24.41,30.08,30.14,96.38,117.53,76.24,99.267,117.53,66.24,0.5164,1.3491246138002055,0,0,107
CELL_01,mild,108,2025-01-19 08:45:22,3.555,2.927,4.24,2.157,3.228,28.25,32.17,30.69,97.99,141.99,89.76,99.251,141.99,67.3,0.4314,1.2259570494864611,0,0,108
CELL_01,mild,109,2025-01-19 13:08:45,3.554,2.971,4.177,2.709,3.435,26.14,30.23,28.18,96.32,110.84,73.94,99.25,110.84,68.13999999999999,0.5418000000000001,1.6611570247933878,0,0,109
CELL_01,mild,110,2025-01-19 15:47:15,3.666,3.034,4.27,4.059,5.276,26.4,32.92,34.98,97.3,73.13,49.95,99.228,73.13,62.32,0.8118000000000001,1.0156121610517668,0,0,110
CELL_01,mild,111,2025-01-19 19:05:55,3.59,2.99,4.246,3.085,3.791,26.12,29.82,38.38,98.76,93.61,61.35,99.227,93.61,60.38,0.617,1.7790368271954677,0,0,111
CELL_01,mild,112,2025-01-19 23:03:51,3.591,3.025,4.179,3.39,4.598,22.19,29.16,39.0,99.37,90.01,54.14,99.217,90.01,60.370000000000005,0.678,0.9552980132450336,0,0,112
CELL_01,mild,113,2025-01-20 04:33:13,3.62,2.989,4.23,2.082,2.746,23.43,26.78,46.4,99.75,144.19,78.54,99.211,144.19,53.35,0.4164,1.8689759036144582,0,0,113
CELL_01,mild,114,2025-01-20 08:13:51,3.645,3.061,4.249,3.583,5.233,25.0,28.83,41.7,99.51,80.16,47.93,99.21,80.16,57.81,0.7166,0.7200000000000001,0,0,114
CELL_01,mild,115,2025-01-20 11:25:45,3.637,3.053,4.188,2.987,4.128,25.06,30.62,39.34,99.29,100.61,55.15,99.209,100.61,59.95,0.5974,0.9947414548641541,0,0,115
CELL_01,mild,116,2025-01-20 15:35:24,3.613,3.001,4.214,3.027,3.916,23.02,26.12,35.19,97.73,100.73,60.39,99.208,100.73,62.540000000000006,0.6054,1.3644544431946015,0,0,116
CELL_01,mild,117,2025-01-20 18:51:33,3.559,2.948,4.184,3.074,4.596,24.57,27.81,32.53,99.98,95.46,65.09,99.201,95.46,67.45,0.6148,0.8120893561103811,0,0,117
CELL_01,mild,118,2025-01-20 22:11:30,3.582,2.985,4.183,3.456,4.694,23.74,28.78,46.17,98.5,85.28,47.4,99.2,85.28,52.33,0.6912,0.9676898222940226,0,0,118
CELL_01,mild,119,2025-01-21 02:28:53,3.547,2.952,4.246,2.712,3.27,26.08,32.16,32.25,96.04,107.27,70.79,99.199,107.27,63.790000000000006,0.5424,2.318996415770611,0,0,119
CELL_01,mild,120,2025-01-21 06:56:14,3.584,2.995,4.208,2.98,4.235,24.94,29.76,43.26,97.3,101.53,49.85,99.193,101.53,54.04,0.596,0.9665338645418324,0,0,120
CELL_01,mild,121,2025-01-21 10:56:23,3.639,3.08,4.216,3.339,4.045,23.66,29.41,32.55,97.75,93.49,61.4,99.186,93.49,65.2,0.6678,1.6090651558073656,0,0,121
CELL_01,mild,122,2025-01-21 14:22:13,3.61,3.036,4.174,3.031,4.103,26.6,29.87,44.91,98.95,96.56,52.58,99.169,96.56,54.040000000000006,0.6062000000000001,1.0615671641791051,0,0,122
CELL_01,mild,123,2025-01-21 17:19:08,3.556,2.904,4.178,3.593,4.597,27.4,33.05,40.03,96.74,87.43,48.57,99.168,87.43,56.709999999999994,0.7186,1.2689243027888442,0,0,123
CELL_01,mild,124,2025-01-21 21:09:36,3.701,3.094,4.25,3.612,4.38,24.0,29.46,34.91,98.12,85.29,56.09,99.158,85.29,63.21000000000001,0.7224,1.505208333333334,0,0,124
CELL_01,mild,125,2025-01-22 01:44:25,3.604,3.023,4.265,2.478,3.3,24.27,30.98,41.09,96.9,120.09,66.6,99.152,120.09,55.81,0.49560000000000004,1.510948905109489,0,0,125
CELL_01,mild,126,2025-01-22 05:50:31,3.622,2.95,4.246,3.133,4.623,24.67,28.81,37.87,99.39,98.42,58.63,99.14,98.42,61.52,0.6266,0.8697986577181208,0,0,126
CELL_01,mild,127,2025-01-22 09:33:22,3.569,2.943,4.221,3.2,4.625,25.36,32.3,46.23,99.75,95.93,51.16,99.113,95.93,53.52,0.64,0.896842105263158,0,0,127
CELL_01,mild,128,2025-01-22 14:08:13,3.614,3.052,4.186,3.312,4.606,27.15,31.34,30.44,99.49,93.07,62.52,99.112,93.07,69.05,0.6624,0.8763523956723337,0,0,128
CELL_01,mild,129,2025-01-22 16:58:22,3.58,2.938,4.206,3.835,5.311,24.58,30.78,41.07,96.82,82.59,44.17,99.111,82.59,55.74999999999999,0.767,0.859078590785908,0,0,129
CELL_01,mild,130,2025-01-22 21:38:15,3.648,3.019,4.209,1.953,2.863,22.79,27.01,42.97,98.89,157.11,84.39,99.11,157.11,55.92,0.3906,1.3076923076923073,0,0,130
CELL_01,mild,131,2025-01-23 00:33:53,3.669,3.021,4.238,3.771,5.16,23.9,29.47,23.47,96.26,82.04,56.66,99.106,82.04,72.79,0.7542,0.8761699064074876,0,0,131
CELL_01,mild,132,2025-01-23 04:25:06,3.6,3.003,4.214,2.675,3.843,27.62,30.86,33.25,98.83,109.6,71.76,99.103,109.6,65.58,0.5349999999999999,1.0368150684931507,0,0,132
CELL_01,mild,133,2025-01-23 09:06:07,3.657,3.057,4.182,2.488,3.46,28.03,35.02,36.58,99.73,119.67,78.45,99.086,119.67,63.150000000000006,0.4976,1.1574074074074079,0,0,133
